Year/Month,SMA Olive Oil Price,WMA Olive Oil Price,EMA Olive Oil Price,Olive Oil Price (1 month before),Olive Oil Price (2 month before),Olive Oil Price (3 month before),Olive Oil Price
2013/04,2.231611527777778,2.2493495833333332,2.2583019166666665,2.2817474166666667,2.237768083333333,2.1753190833333336,2.272458333333333
2013/05,2.2639912777777775,2.2697729861111107,2.2266242499999995,2.272458333333333,2.2817474166666667,2.237768083333333,2.194946583333333
2013/06,2.2497174444444443,2.2352506388888886,2.207187125,2.194946583333333,2.272458333333333,2.2817474166666667,2.18775
2013/07,2.2183849722222218,2.2042669166666666,2.2297567708333332,2.18775,2.194946583333333,2.272458333333333,2.252326416666667
2013/08,2.2116743333333333,2.221237638888889,2.2409681076388885,2.252326416666667,2.18775,2.194946583333333,2.2521794444444443
2013/09,2.2307519537037037,2.2414901944444448,2.2705070538194443,2.2521794444444443,2.252326416666667,2.18775,2.300046
2013/10,2.2681839537037036,2.2761372175925927,2.229823485243055,2.300046,2.2521794444444443,2.252326416666667,2.1891399166666665
2013/11,2.247121787037037,2.2366151990740737,2.188169450954861,2.1891399166666665,2.300046,2.2521794444444443,2.1465154166666665
2013/12,2.2119004444444443,2.1863120138888887,2.1684954754774304,2.1465154166666665,2.1891399166666665,2.300046,2.1488215
2014/01,2.161492277777778,2.1547725416666665,2.192078071072048,2.1488215,2.1465154166666665,2.1891399166666665,2.2156606666666665
2014/02,2.1703325277777776,2.181856736111111,2.2009199522026908,2.2156606666666665,2.1488215,2.1465154166666665,2.2097618333333333
2014/03,2.1914146666666667,2.201571388888889,2.2243649344346785,2.2097618333333333,2.2156606666666665,2.1488215,2.2478099166666667
2014/04,2.2244108055555554,2.229769013888889,2.235894244995117,2.2478099166666667,2.2097618333333333,2.2156606666666665,2.2474235555555557
2014/05,2.2349984351851853,2.241275388888889,2.210105928053115,2.2474235555555557,2.2478099166666667,2.2097618333333333,2.184317611111112
2014/06,2.226517027777778,2.215934976851852,2.1952745056932237,2.184317611111112,2.2474235555555557,2.2478099166666667,2.180443083333333
2014/07,2.2040614166666668,2.1928980046296296,2.2078052528466117,2.180443083333333,2.184317611111112,2.2474235555555557,2.220336
2014/08,2.195032231481482,2.2010352962962965,2.2211132930899726,2.220336,2.180443083333333,2.184317611111112,2.234421333333333
2014/09,2.2117334722222224,2.220729847222222,2.3068252576560972,2.234421333333333,2.220336,2.180443083333333,2.3925372222222223
2014/10,2.282431518518518,2.3111317222222225,2.338721795494715,2.3925372222222223,2.234421333333333,2.220336,2.3706183333333333
2014/11,2.3325256296296293,2.3552251296296296,2.4487081477473573,2.3706183333333333,2.3925372222222223,2.234421333333333,2.5586945
2014/12,2.4406166851851854,2.468309564814815,2.4952501572070123,2.5586945,2.3706183333333333,2.3925372222222223,2.5417921666666667
2015/01,2.490368333333333,2.5188973055555555,2.5573669536035064,2.5417921666666667,2.5586945,2.3706183333333333,2.61948375
2015/02,2.5733234722222225,2.583455013888889,2.6075079212461976,2.61948375,2.5417921666666667,2.5586945,2.657648888888889
2015/03,2.6063082685185184,2.625617722222222,2.6332687384008766,2.657648888888889,2.61948375,2.5417921666666667,2.659029555555556
2015/04,2.6453873981481486,2.651978365740741,2.6417244942004383,2.659029555555556,2.657648888888889,2.61948375,2.65018025
2015/05,2.655619564814815,2.6543747916666667,2.6949955804335524,2.65018025,2.659029555555556,2.657648888888889,2.7482666666666664
2015/06,2.6858254907407404,2.700698342592593,2.7654102485501095,2.7482666666666664,2.65018025,2.659029555555556,2.8358249166666667
2015/07,2.7447572777777776,2.7756980555555555,2.8409732076083882,2.8358249166666667,2.7482666666666664,2.65018025,2.916536166666667
2015/08,2.833542583333333,2.8615875,3.0091430621375275,2.916536166666667,2.8358249166666667,2.7482666666666664,3.1773129166666667
2015/09,2.9765580000000003,3.033472666666667,3.1194093227354305,3.1773129166666667,2.916536166666667,2.8358249166666667,3.229675583333333
2015/10,3.107841555555556,3.1600314583333335,3.083583119701048,3.229675583333333,3.1773129166666667,2.916536166666667,3.0477569166666663
2015/11,3.1515818055555553,3.1299891388888885,2.8945072542949686,3.0477569166666663,3.229675583333333,3.1773129166666667,2.705431388888889
2015/12,2.994287962962963,2.906913930555555,2.7371147521474843,2.705431388888889,3.0477569166666663,3.229675583333333,2.57972225
2016/01,2.777636851851852,2.6996310740740745,2.704981001073742,2.57972225,2.705431388888889,3.0477569166666663,2.67284725
2016/02,2.652666962962963,2.647236273148148,2.7255868338702047,2.67284725,2.57972225,2.705431388888889,2.746192666666667
2016/03,2.6662540555555556,2.693999125,2.7222744586017686,2.746192666666667,2.67284725,2.57972225,2.718962083333333
2016/04,2.7126673333333335,2.720353138888889,2.7271911876342174,2.718962083333333,2.746192666666667,2.67284725,2.732107916666666
2016/05,2.732420888888889,2.730073430555555,2.720629135483775,2.732107916666666,2.718962083333333,2.746192666666667,2.714067083333333
2016/06,2.721712361111111,2.7208965277777772,2.703829526075221,2.714067083333333,2.732107916666666,2.718962083333333,2.687029916666667
2016/07,2.7110683055555556,2.7035553055555557,2.7049528880376106,2.687029916666667,2.714067083333333,2.732107916666666,2.70607625
2016/08,2.7023910833333336,2.701059277777778,2.7178146523521387,2.70607625,2.687029916666667,2.714067083333333,2.730676416666667
2016/09,2.707927527777778,2.715201944444445,2.739433909509403,2.730676416666667,2.70607625,2.687029916666667,2.7610531666666667
2016/10,2.7326019444444447,2.7417647638888893,2.7461363297547017,2.7610531666666667,2.730676416666667,2.70607625,2.75283875
