Year/Month,SMA Cheese Price,WMA Cheese Price,EMA Cheese Price,Cheese Price (1 month before),Cheese Price (2 month before),Cheese Price (3 month before),Cheese Price
2013/04,3.3860088888888886,3.3896188888888887,3.3852883333333335,3.3946,3.3904866666666664,3.37294,3.38242
2013/05,3.389168888888889,3.3878244444444445,3.417650833333333,3.38242,3.3946,3.3904866666666664,3.450013333333333
2013/06,3.409011111111111,3.4182466666666667,3.45653375,3.450013333333333,3.38242,3.3946,3.495416666666667
2013/07,3.4426166666666664,3.4614494444444444,3.513320208333333,3.495416666666667,3.450013333333333,3.38242,3.5701066666666663
2013/08,3.5051788888888886,3.5251944444444447,3.5725367708333327,3.5701066666666663,3.495416666666667,3.450013333333333,3.6317533333333327
2013/09,3.5657588888888885,3.5884816666666666,3.6271483854166657,3.6317533333333327,3.5701066666666663,3.495416666666667,3.6817599999999993
2013/10,3.627873333333333,3.6464822222222217,3.678944192708333,3.6817599999999993,3.6317533333333327,3.5701066666666663,3.73074
2013/11,3.6814177777777775,3.697915555555555,3.763608763020833,3.73074,3.6817599999999993,3.6317533333333327,3.848273333333333
2013/12,3.753591111111111,3.7813433333333335,3.8462878815104165,3.848273333333333,3.73074,3.6817599999999993,3.928967
2014/01,3.835993444444444,3.8690312777777778,3.889373940755208,3.928967,3.848273333333333,3.73074,3.93246
2014/02,3.9032334444444445,3.917264555555556,3.9212661370442703,3.93246,3.928967,3.848273333333333,3.953158333333333
2014/03,3.9381951111111113,3.9422270000000004,3.895623068522135,3.953158333333333,3.93246,3.928967,3.86998
2014/04,3.9185327777777776,3.9081194444444445,3.8352548675944007,3.86998,3.953158333333333,3.93246,3.7748866666666663
2014/05,3.8660083333333333,3.8362963888888886,3.734370767130533,3.7748866666666663,3.86998,3.953158333333333,3.6334866666666654
2014/06,3.7594511111111104,3.7200355555555547,3.6419887168985996,3.6334866666666654,3.7748866666666663,3.86998,3.549606666666666
