Year/Month,SMA Pig Meat Price,WMA Pig Meat Price,EMA Pig Meat Price,Pig Meat Price (1 month before),Pig Meat Price (2 month before),Pig Meat Price (3 month before),Pig Meat Price
2013/04,2.0755846666666664,2.0723228333333332,2.00373775,2.060312,2.086559,2.079883,1.935709
2013/05,2.0275266666666667,2.002385,1.936505875,1.935709,2.060312,2.086559,1.869274
2013/06,1.9550983333333332,1.9232586666666667,1.8974499375,1.869274,1.935709,2.060312,1.858394
2013/07,1.8877923333333335,1.8749064999999998,1.87903396875,1.858394,1.869274,1.935709,1.860618
2013/08,1.862762,1.8613193333333333,1.953493484375,1.860618,1.858394,1.869274,2.027953
2013/09,1.915655,1.9439148333333334,2.0532857421874997,2.027953,1.860618,1.858394,2.153078
2013/10,2.013883,2.0626263333333337,2.14494337109375,2.153078,2.027953,1.860618,2.236601
2013/11,2.1392106666666666,2.173985333333333,2.131661685546875,2.236601,2.153078,2.027953,2.11838
2013/12,2.1693529999999996,2.16357,2.099507092773438,2.11838,2.236601,2.153078,2.0673525
2014/01,2.1407778333333334,2.11256975,2.116476296386719,2.0673525,2.11838,2.236601,2.1334455
2014/02,2.106392666666667,2.1089035833333334,2.1114616481933597,2.1334455,2.0673525,2.11838,2.106447
2014/03,2.102415,2.1089307500000003,2.08418632409668,2.106447,2.1334455,2.0673525,2.056911
2014/04,2.0989345,2.08617875,2.02234516204834,2.056911,2.106447,2.1334455,1.960504
2014/05,2.0412873333333335,2.0169634999999997,1.98797158102417,1.960504,2.056911,2.106447,1.953598
2014/06,1.9903376666666663,1.9731188333333334,1.9437832905120849,1.953598,1.960504,2.056911,1.899595
2014/07,1.9378989999999998,1.9277475,1.9370408952560423,1.899595,1.953598,1.960504,1.9302985
2014/08,1.9278305,1.92394725,1.9376599476280212,1.9302985,1.899595,1.953598,1.938279
2014/09,1.9227241666666668,1.9291715,1.9359109738140106,1.938279,1.9302985,1.899595,1.934162
2014/10,1.9342464999999998,1.9348904166666667,1.8845814869070052,1.934162,1.938279,1.9302985,1.833252
2014/11,1.9018976666666667,1.8843931666666667,1.8322467434535026,1.833252,1.934162,1.938279,1.779912
2014/12,1.8491086666666667,1.8234003333333335,1.7855168717267513,1.779912,1.833252,1.934162,1.738787
2015/01,1.7839836666666669,1.7682395,1.7496399358633756,1.738787,1.779912,1.833252,1.713763
2015/02,1.744154,1.7331291666666668,1.6971404679316877,1.713763,1.738787,1.779912,1.644641
2015/03,1.6990636666666667,1.6833726666666664,1.6667642339658437,1.644641,1.713763,1.738787,1.636388
2015/04,1.6649306666666668,1.6520348333333335,1.668257116982922,1.636388,1.644641,1.713763,1.66975
2015/05,1.650259666666667,1.6544445,1.651789058491461,1.66975,1.636388,1.644641,1.635321
2015/06,1.647153,1.6469751666666668,1.6188445292457305,1.635321,1.66975,1.636388,1.5859
2015/07,1.6303236666666667,1.6163486666666664,1.6245807646228654,1.5859,1.635321,1.66975,1.630317
2015/08,1.6171793333333333,1.6163453333333333,1.6659348823114328,1.630317,1.5859,1.635321,1.707289
