Year/Month,SMA Milk Price,WMA Milk Price,EMA Milk Price,Milk Price (1 month before),Milk Price (2 month before),Milk Price (3 month before),Milk Price
2013/04,0.3081,0.3083666666666667,0.3096875,0.3092,0.3075,0.3076,0.311
2013/05,0.3092333333333333,0.3098166666666667,0.31044375,0.311,0.3092,0.3075,0.3112
2013/06,0.31046666666666667,0.3108,0.310921875,0.3112,0.311,0.3092,0.3114
2013/07,0.3112,0.31126666666666664,0.3116109375,0.3114,0.3112,0.311,0.3123
2013/08,0.3116333333333334,0.3118166666666667,0.31420546875,0.3123,0.3114,0.3112,0.3168
2013/09,0.31350000000000006,0.3144,0.322352734375,0.3168,0.3123,0.3114,0.3305
2013/10,0.3198666666666667,0.3229,0.33382636718750003,0.3305,0.3168,0.3123,0.3453
2013/11,0.33086666666666664,0.3356166666666667,0.34306318359375,0.3453,0.3305,0.3168,0.3522999999999999
2013/12,0.34269999999999995,0.3463333333333333,0.35213159179687503,0.3522999999999999,0.3453,0.3305,0.3612
2014/01,0.3529333333333333,0.3555833333333333,0.3621657958984375,0.3612,0.3522999999999999,0.3453,0.3722
2014/02,0.36189999999999994,0.3652166666666667,0.36753289794921873,0.3722,0.3612,0.3522999999999999,0.3729
2014/03,0.3687666666666667,0.37071666666666664,0.36871644897460937,0.3729,0.3722,0.3612,0.3699
2014/04,0.37166666666666665,0.37128333333333335,0.3671582244873047,0.3699,0.3729,0.3722,0.3656
2014/05,0.36946666666666667,0.36825,0.36162911224365235,0.3656,0.3699,0.3729,0.3561
2014/06,0.3638666666666667,0.36156666666666665,0.3541645561218262,0.3561,0.3656,0.3699,0.3467
2014/07,0.35613333333333336,0.35298333333333337,0.3484322780609131,0.3467,0.3561,0.3656,0.3427
2014/08,0.34850000000000003,0.3462666666666667,0.34316613903045656,0.3427,0.3467,0.3561,0.3379
2014/09,0.3424333333333333,0.34096666666666664,0.3388830695152283,0.3379,0.3427,0.3467,0.3346
2014/10,0.33840000000000003,0.33705,0.3313915347576142,0.3346,0.3379,0.3427,0.3239
2014/11,0.33213333333333334,0.3298,0.3258457673788071,0.3239,0.3346,0.3379,0.3203
2014/12,0.3262666666666667,0.3238833333333333,0.3215228836894035,0.3203,0.3239,0.3346,0.3172
2015/01,0.3204666666666667,0.31934999999999997,0.30901144184470175,0.3172,0.3203,0.3239,0.2965
2015/02,0.3113333333333333,0.3073666666666666,0.30030572092235086,0.2965,0.3172,0.3203,0.2916
2015/03,0.3017666666666667,0.2975,0.29460286046117545,0.2916,0.2965,0.3172,0.2889
2015/04,0.29233333333333333,0.29106666666666664,0.28990143023058773,0.2889,0.2916,0.2965,0.2852
2015/05,0.2885666666666667,0.28750000000000003,0.2849507151152939,0.2852,0.2889,0.2916,0.28
2015/06,0.2847,0.28321666666666667,0.28072535755764694,0.28,0.2852,0.2889,0.2765
2015/07,0.2805666666666667,0.2791166666666667,0.27661267877882345,0.2765,0.28,0.2852,0.2725
2015/08,0.2763333333333333,0.27508333333333335,0.27510633938941176,0.2725,0.2765,0.28,0.2736
2015/09,0.2742,0.27371666666666666,0.2776531696947059,0.2736,0.2725,0.2765,0.2802
2015/10,0.27543333333333336,0.27671666666666667,0.28142658484735295,0.2802,0.2736,0.2725,0.2852
2015/11,0.2796666666666667,0.2816,0.28396329242367646,0.2852,0.2802,0.2736,0.2865
2015/12,0.28396666666666665,0.28501666666666664,0.28363164621183823,0.2865,0.2852,0.2802,0.2833
2016/01,0.285,0.28468333333333334,0.2790658231059191,0.2833,0.2865,0.2852,0.2745
2016/02,0.28143333333333337,0.27943333333333337,0.27278291155295953,0.2745,0.2833,0.2865,0.2665
2016/03,0.27476666666666666,0.2719666666666667,0.26204145577647975,0.2665,0.2745,0.2833,0.2513
2016/04,0.2641,0.26023333333333337,0.24922072788823987,0.2513,0.2665,0.2745,0.2364
2016/05,0.2514,0.24638333333333337,0.24191036394411994,0.2364,0.2513,0.2665,0.2346
2016/06,0.24076666666666668,0.23798333333333332,0.23675518197205997,0.2346,0.2364,0.2513,0.2316
2016/07,0.2342,0.23339999999999997,0.23507759098602998,0.2316,0.2346,0.2364,0.2334
2016/08,0.2332,0.23299999999999998,0.238288795493015,0.2334,0.2316,0.2346,0.2415
2016/09,0.23549999999999996,0.23714999999999997,0.2429443977465075,0.2415,0.2334,0.2316,0.2476
2016/10,0.24083333333333332,0.24319999999999997,0.25192219887325373,0.2476,0.2415,0.2334,0.2609
2016/11,0.25,0.25323333333333337,0.26271109943662685,0.2609,0.2476,0.2415,0.2735
