Year/Month,SMA Chicken Price,WMA Chicken Price,EMA Chicken Price,Chicken Price (1 month before),Chicken Price (2 month before),Chicken Price (3 month before),Chicken Price
2013/04,1.6190606666666667,1.6130450000000003,1.61757675,1.590304,1.64048,1.626398,1.623282
2013/05,1.6180219999999998,1.6151556666666664,1.649429375,1.623282,1.590304,1.64048,1.681282
2013/06,1.6316226666666667,1.646785666666667,1.5864116875,1.681282,1.623282,1.590304,1.523394
2013/07,1.6093193333333333,1.5926713333333333,1.57801434375,1.523394,1.681282,1.623282,1.569617
2013/08,1.591431,1.5728201666666666,1.570843171875,1.569617,1.523394,1.681282,1.563672
2013/09,1.5522276666666663,1.5589406666666665,1.5929640859375,1.563672,1.569617,1.523394,1.615085
2013/10,1.5827913333333334,1.5903693333333333,1.63249554296875,1.615085,1.563672,1.569617,1.672027
2013/11,1.616928,1.6349871666666667,1.6201447714843749,1.672027,1.615085,1.563672,1.607794
2013/12,1.6316353333333333,1.6304201666666664,1.5936323857421875,1.607794,1.672027,1.615085,1.56712
2014/01,1.615647,1.5981625000000002,1.5152071928710937,1.56712,1.607794,1.672027,1.436782
2014/02,1.5372320000000002,1.50873,1.495128096435547,1.436782,1.56712,1.607794,1.475049
2014/03,1.4929836666666667,1.4776385,1.4706625482177733,1.475049,1.436782,1.56712,1.446197
2014/04,1.452676,1.4542451666666665,1.4976942741088868,1.446197,1.475049,1.436782,1.524726
2014/05,1.4819906666666667,1.4902701666666667,1.4824641370544434,1.524726,1.446197,1.475049,1.467234
2014/06,1.4793856666666667,1.4828918333333334,1.5135170685272217,1.467234,1.524726,1.446197,1.54457
2014/07,1.5121766666666667,1.515484,1.5699690342636108,1.54457,1.467234,1.524726,1.626421
2014/08,1.5460749999999999,1.5726061666666666,1.5927490171318053,1.626421,1.54457,1.467234,1.615529
2014/09,1.5955066666666664,1.6073331666666666,1.5959330085659027,1.615529,1.626421,1.54457,1.599117
2014/10,1.613689,1.6091383333333333,1.6013485042829514,1.599117,1.615529,1.626421,1.606764
2014/11,1.6071366666666667,1.6056758333333334,1.5536612521414757,1.606764,1.599117,1.615529,1.505974
2014/12,1.5706183333333332,1.5550944999999998,1.532718626070738,1.505974,1.606764,1.599117,1.511776
2015/01,1.5415046666666667,1.5256733333333334,1.537220313035369,1.511776,1.505974,1.606764,1.541722
2015/02,1.5198239999999998,1.5257820000000002,1.5240126565176846,1.541722,1.511776,1.505974,1.510805
