Year/Month,SMA Pig Meat Price,WMA Pig Meat Price,EMA Pig Meat Price,Pig Meat Price (1 month before),Pig Meat Price (2 month before),Pig Meat Price (3 month before),Pig Meat Price
2013/04,1.6221303333333335,1.6200798333333333,1.64165025,1.626171,1.601746,1.638474,1.66016
2013/05,1.629359,1.6390946666666668,1.615159125,1.66016,1.626171,1.601746,1.588668
2013/06,1.6249996666666666,1.6187491666666667,1.6355045625,1.588668,1.66016,1.626171,1.65585
2013/07,1.6348926666666668,1.6341743333333334,1.67869578125,1.65585,1.588668,1.66016,1.721887
2013/08,1.6554683333333333,1.6776715,1.743073890625,1.721887,1.65585,1.588668,1.807452
2013/09,1.7283963333333332,1.7536633333333336,1.7925234453125,1.807452,1.721887,1.65585,1.841973
2013/10,1.7904373333333334,1.8104516666666666,1.78770672265625,1.841973,1.807452,1.721887,1.78289
2013/11,1.8107716666666667,1.806678,1.756824861328125,1.78289,1.841973,1.807452,1.725943
2013/12,1.7836020000000001,1.7642636666666667,1.7287399306640625,1.725943,1.78289,1.841973,1.700655
2014/01,1.736496,1.7227901666666667,1.6750104653320312,1.700655,1.725943,1.78289,1.621281
2014/02,1.6826263333333333,1.6651826666666665,1.6598367326660157,1.621281,1.700655,1.725943,1.644663
2014/03,1.6555330000000001,1.6462010000000002,1.6609788663330078,1.644663,1.621281,1.700655,1.662121
2014/04,1.6426883333333333,1.649495,1.6796626831665038,1.662121,1.644663,1.621281,1.6983465
2014/05,1.6683768333333333,1.6773240833333334,1.6938313415832518,1.6983465,1.662121,1.644663,1.708
2014/06,1.6894891666666665,1.6971356666666668,1.7389906707916258,1.708,1.6983465,1.662121,1.78415
2014/07,1.7301655,1.7444660833333332,1.7671515853958129,1.78415,1.708,1.6983465,1.7953125
2014/08,1.7624875,1.7770395833333332,1.7578492926979066,1.7953125,1.78415,1.708,1.748547
2014/09,1.7760031666666667,1.770069333333333,1.7408938963489533,1.748547,1.7953125,1.78415,1.7239385
2014/10,1.7559326666666666,1.7440369999999998,1.6744614481744766,1.7239385,1.748547,1.7953125,1.608029
2014/11,1.6935048333333336,1.6700851666666665,1.6600949740872384,1.608029,1.7239385,1.748547,1.6457285
2014/12,1.659232,1.646197,1.6289442370436191,1.6457285,1.608029,1.7239385,1.5977935
2015/01,1.6171836666666666,1.6154777500000002,1.5887108685218094,1.5977935,1.6457285,1.608029,1.5484775
2015/02,1.5973331666666668,1.5811246666666667,1.5913481842609047,1.5484775,1.5977935,1.6457285,1.5939855
2015/03,1.5800855,1.5794508333333332,1.6175943421304524,1.5939855,1.5484775,1.5977935,1.6438405
2015/04,1.5954345000000003,1.6113283333333335,1.6308904210652262,1.6438405,1.5939855,1.5484775,1.6441865
2015/05,1.6273375,1.6357043333333332,1.598524210532613,1.6441865,1.6438405,1.5939855,1.566158
2015/06,1.6180616666666667,1.6051145833333333,1.6103388552663065,1.566158,1.6441865,1.6438405,1.6221535
2015/07,1.6108326666666664,1.6071605,1.6016491776331532,1.6221535,1.566158,1.6441865,1.5929595
2015/08,1.593757,1.5982239166666667,1.6026590888165766,1.5929595,1.6221535,1.566158,1.603669
2015/09,1.6062606666666668,1.6031799166666667,1.6451820444082883,1.603669,1.5929595,1.6221535,1.687705
2015/10,1.6281111666666668,1.643902083333333,1.6388322722041442,1.687705,1.603669,1.5929595,1.6324825
2015/11,1.6412855000000002,1.6460877500000002,1.580511136102072,1.6324825,1.687705,1.603669,1.52219
2015/12,1.6141258333333335,1.58654,1.582231318051036,1.52219,1.6324825,1.687705,1.5839515
2016/01,1.5795413333333332,1.5714528333333335,1.574840659025518,1.5839515,1.52219,1.6324825,1.56745
2016/02,1.5578638333333332,1.5654071666666667,1.513768579512759,1.56745,1.5839515,1.52219,1.4526965
2016/03,1.5346993333333334,1.5128234999999999,1.4720012897563794,1.4526965,1.56745,1.5839515,1.430234
2016/04,1.4834601666666665,1.4605908333333335,1.4477523948781896,1.430234,1.4526965,1.56745,1.4235035
2016/05,1.435478,1.4306124999999998,1.4836536974390948,1.4235035,1.430234,1.4526965,1.519555
2016/06,1.4577641666666665,1.472651,1.5692483487195474,1.519555,1.4235035,1.430234,1.654843
2016/07,1.5326338333333336,1.5711904166666668,1.6575379243597737,1.654843,1.519555,1.4235035,1.7458275
2016/08,1.6400751666666666,1.67778725,1.7007229621798867,1.7458275,1.654843,1.519555,1.743908
2016/09,1.7148595000000002,1.7297036666666668,1.7373957310899433,1.743908,1.7458275,1.654843,1.7740684999999998
2016/10,1.7546013333333335,1.7593081666666663,1.7304501155449716,1.7740684999999998,1.743908,1.7458275,1.7235045
2016/11,1.7471603333333332,1.74375975,1.7070833077724858,1.7235045,1.7740684999999998,1.743908,1.6837165
2016/12,1.7270965,1.7120378333333335,1.7056804038862428,1.6837165,1.7235045,1.7740684999999998,1.7042775
2017/01,1.7038328333333332,1.7006283333333332,1.6852369519431214,1.7042775,1.6837165,1.7235045,1.6647935
2017/02,1.6842625,1.6811086666666668,1.6668282259715608,1.6647935,1.7042775,1.6837165,1.6484195
2017/03,1.6724968333333334,1.6631871666666667,1.6718011129857804,1.6484195,1.6647935,1.7042775,1.676774
2017/04,1.663329,1.66532575,1.7344113064928903,1.676774,1.6484195,1.6647935,1.7970215
2017/05,1.7074050000000003,1.7321720000000003,1.794814653246445,1.7970215,1.676774,1.6484195,1.855218
2017/06,1.7763378333333335,1.8060785,1.8340338266232226,1.855218,1.7970215,1.676774,1.873253
2017/07,1.8418308333333335,1.8545360833333333,1.8289654133116113,1.873253,1.855218,1.7970215,1.823897
2017/08,1.8507893333333332,1.8455691666666667,1.8285722066558057,1.823897,1.873253,1.855218,1.828179
2017/09,1.8417763333333335,1.834264,1.8070161033279029,1.828179,1.823897,1.873253,1.78546
2017/10,1.812512,1.8061058333333333,1.7393530516639513,1.78546,1.828179,1.823897,1.67169
2017/11,1.7617763333333334,1.7356948333333333,1.6836572758319757,1.67169,1.78546,1.828179,1.6279615
2017/12,1.6950371666666666,1.6687874166666667,1.6451326379159878,1.6279615,1.67169,1.78546,1.606608
2018/01,1.6354198333333334,1.6245728333333336,1.600387318957994,1.606608,1.6279615,1.67169,1.5556420000000002
2018/02,1.5967371666666665,1.5846839166666669,1.593537409478997,1.5556420000000002,1.606608,1.6279615,1.5866875
2018/03,1.5829791666666668,1.5796590833333335,1.6244124547394985,1.5866875,1.5556420000000002,1.606608,1.6552875
2018/04,1.599205666666667,1.6158132500000002,1.6234044773697494,1.6552875,1.5866875,1.5556420000000002,1.6223965
2018/05,1.6214571666666666,1.6274086666666667,1.6193627386848748,1.6223965,1.6552875,1.5866875,1.615321
2018/06,1.6310016666666665,1.624340583333333,1.6285588693424375,1.615321,1.6223965,1.6552875,1.637755
2018/07,1.6251575,1.62771725,1.6353599346712189,1.637755,1.615321,1.6223965,1.642161
2018/08,1.6317456666666665,1.6362189999999999,1.6489532173356094,1.642161,1.637755,1.615321,1.6625465
2018/09,1.6474874999999998,1.6516194166666667,1.6565366086678046,1.6625465,1.642161,1.637755,1.66412
