Year/Month,SMA Apples Price,WMA Apples Price,EMA Apples Price,Apples Price (1 month before),Apples Price (2 month before),Apples Price (3 month before),Apples Price
2013/04,0.7820657333333334,0.8014025,0.8394849750000001,0.8485426,0.7651326,0.732522,0.8802850000000001
2013/05,0.8313200666666667,0.8505121333333334,0.8693744875,0.8802850000000001,0.8485426,0.7651326,0.8992640000000001
2013/06,0.8760305333333335,0.8844841000000002,0.8850597437500001,0.8992640000000001,0.8802850000000001,0.8485426,0.900745
2013/07,0.8934313333333335,0.8968413333333333,0.9106883718750001,0.900745,0.8992640000000001,0.8802850000000001,0.936317
2013/08,0.9121086666666667,0.9182841666666667,0.8897424359375,0.936317,0.900745,0.8992640000000001,0.8687965
2013/09,0.9019528333333332,0.8966280833333332,0.8114728846354167,0.8687965,0.936317,0.900745,0.7332033333333333
2013/10,0.8461056111111112,0.8122533333333332,0.7581135423177083,0.7332033333333333,0.8687965,0.936317,0.7047542
2013/11,0.768918011111111,0.7415776277777777,0.7264961711588542,0.7047542,0.7332033333333333,0.8687965,0.6948788
2013/12,0.7109454444444445,0.7045580222222222,0.7133373855794272,0.6948788,0.7047542,0.7332033333333333,0.7001786
2014/01,0.6999372,0.6991746000000001,0.7003819927897136,0.7001786,0.6948788,0.7047542,0.6874266
2014/02,0.6941613333333333,0.6929192999999999,0.6744114963948569,0.6874266,0.7001786,0.6948788,0.648441
2014/03,0.6786820666666666,0.6700591333333333,0.6587062481974284,0.648441,0.6874266,0.7001786,0.6430009999999999
2014/04,0.6596228666666667,0.6522186,0.6469067490987142,0.6430009999999999,0.648441,0.6874266,0.63510725
2014/05,0.6421830833333333,0.6399607916666666,0.6347273745493571,0.63510725,0.6430009999999999,0.648441,0.6225480000000001
2014/06,0.6335520833333333,0.63014325,0.6246761872746786,0.6225480000000001,0.63510725,0.6430009999999999,0.614625
2014/07,0.6240934166666666,0.6206797083333333,0.5604595936373393,0.614625,0.6225480000000001,0.63510725,0.496243
2014/08,0.5778053333333334,0.5567544999999999,0.5518296301520029,0.496243,0.614625,0.6225480000000001,0.5431996666666666
2014/09,0.5513558888888889,0.5394516666666666,0.5550180650760015,0.5431996666666666,0.496243,0.614625,0.5582065
2014/10,0.5325497222222222,0.5428769722222223,0.5491046575380008,0.5582065,0.5431996666666666,0.496243,0.54319125
2014/11,0.5481991388888888,0.5481977361111111,0.5613416287690003,0.54319125,0.5582065,0.5431996666666666,0.5735785999999999
2014/12,0.55832545,0.5608874666666667,0.5661591143845002,0.5735785999999999,0.54319125,0.5582065,0.5709766000000001
2015/01,0.56258215,0.5672130416666666,0.54754780719225,0.5709766000000001,0.5735785999999999,0.54319125,0.5289364999999999
2015/02,0.5578305666666666,0.5503902166666667,0.5382414035961249,0.5289364999999999,0.5709766000000001,0.5735785999999999,0.5289349999999999
2015/03,0.5429493666666666,0.5359424333333332,0.5364680767980625,0.5289349999999999,0.5289364999999999,0.5709766000000001,0.53469475
