Year/Month,SMA Cheese Price,WMA Cheese Price,EMA Cheese Price,Cheese Price (1 month before),Cheese Price (2 month before),Cheese Price (3 month before),Cheese Price
2017/03,3.3896866666666665,3.39043,3.258552290994324,3.42164,3.33024,3.41718,3.14143
2017/04,3.29777,3.266301666666667,3.193401145497162,3.14143,3.42164,3.33024,3.12825
2017/05,3.2304399999999998,3.1815416666666665,3.1923705727485814,3.12825,3.14143,3.42164,3.1913400000000003
2017/06,3.1536733333333338,3.1619916666666668,3.2706202863742906,3.1913400000000003,3.12825,3.14143,3.34887
2017/07,3.22282,3.2595899999999998,3.3208851431871453,3.34887,3.1913400000000003,3.12825,3.37115
2017/08,3.303786666666667,3.333755,3.3673175715935724,3.37115,3.34887,3.1913400000000003,3.41375
2017/09,3.3779233333333334,3.3887366666666665,3.3905337857967863,3.41375,3.37115,3.34887,3.41375
2017/10,3.39955,3.4066500000000004,3.4133168928983935,3.41375,3.41375,3.37115,3.4361
2017/11,3.4212000000000002,3.424925,3.390048446449197,3.4361,3.41375,3.41375,3.36678
2017/12,3.4055433333333336,3.397715,3.3123642232245984,3.36678,3.4361,3.41375,3.23468
2018/01,3.345853333333333,3.3122833333333332,3.144677111612299,3.23468,3.36678,3.4361,2.97699
2018/02,3.192816666666667,3.1278516666666665,3.0327685558061495,2.97699,3.23468,3.36678,2.92086
2018/03,3.0441766666666665,2.991873333333333,2.9654892779030746,2.92086,2.97699,3.23468,2.89821
2018/04,2.93202,2.9188899999999998,2.8988133889515373,2.89821,2.92086,2.97699,2.8321375
2018/05,2.883735833333333,2.86894875,2.8644716944757684,2.8321375,2.89821,2.92086,2.83013
2018/06,2.8534925,2.8421458333333334,2.903110847237884,2.83013,2.8321375,2.89821,2.94175
2018/07,2.8680058333333336,2.8862745833333334,2.931105423618942,2.94175,2.83013,2.8321375,2.9591000000000003
2018/08,2.9103266666666663,2.9318216666666665,2.955692711809471,2.9591000000000003,2.94175,2.83013,2.98028
2018/09,2.960376666666667,2.966798333333333,3.0090276059047354,2.98028,2.9591000000000003,2.94175,3.0623625
2018/10,3.000580833333333,3.01779125,3.0550138029523675,3.0623625,2.98028,2.9591000000000003,3.101
2018/11,3.0478808333333327,3.068000833333334,3.077836901476184,3.101,3.0623625,2.98028,3.10066
2018/12,3.0880075,3.0943904166666667,3.084908450738092,3.10066,3.101,3.0623625,3.0919800000000004
2019/01,3.09788,3.0963766666666666,3.095814225369046,3.0919800000000004,3.10066,3.101,3.10672
2019/02,3.0997866666666667,3.100796666666667,3.0749371126845233,3.10672,3.0919800000000004,3.10066,3.05406
2019/03,3.0842533333333333,3.077933333333334,3.0557935563422616,3.05406,3.10672,3.0919800000000004,3.03665
2019/04,3.0658100000000004,3.0541316666666667,3.0311367781711307,3.03665,3.05406,3.10672,3.00648
2019/05,3.0323966666666666,3.0244666666666666,3.0029633890855654,3.00648,3.03665,3.05406,2.97479
2019/06,3.0059733333333334,2.995663333333333,3.0079504445427827,2.97479,3.00648,3.03665,3.0129375
2019/07,2.998069166666667,2.9991454166666665,2.9946252222713916,3.0129375,2.97479,3.00648,2.9813
2019/08,2.989675833333333,2.990760833333333,2.989332611135696,2.9813,3.0129375,2.97479,2.98404
2019/09,2.992759166666667,2.9879429166666664,3.014806305567848,2.98404,2.9813,3.0129375,3.04028
2019/10,3.0018733333333336,3.011703333333333,3.0760631527839237,3.04028,2.98404,2.9813,3.13732
