Year/Month,SMA Pears Price,WMA Pears Price,EMA Pears Price,Pears Price (1 month before),Pears Price (2 month before),Pears Price (3 month before),Pears Price
2013/04,1.01528,1.0419349999999998,1.098069625,1.095385,1.015,0.935455,1.160833
2013/05,1.090406,1.1147115,1.2311183125,1.160833,1.095385,1.015,1.364167
2013/06,1.2067949999999998,1.2515919999999998,1.29505915625,1.364167,1.160833,1.095385,1.359
2013/07,1.2946666666666666,1.3276945,1.3270295781249999,1.359,1.364167,1.160833,1.359
2013/08,1.3607223333333334,1.3598611666666667,1.3430147890625,1.359,1.359,1.364167,1.359
2013/09,1.359,1.359,1.01000739453125,1.359,1.359,1.359,0.677
2013/10,1.1316666666666666,1.018,0.756075197265625,0.677,1.359,1.359,0.502143
2013/11,0.8460476666666666,0.7032381666666666,0.6647040986328125,0.502143,0.677,1.359,0.573333
2013/12,0.5841586666666667,0.5668808333333334,0.5661980493164063,0.573333,0.502143,0.677,0.467692
2014/01,0.5143893333333334,0.5086475,0.5423845246582031,0.467692,0.573333,0.502143,0.518571
2014/02,0.5198653333333333,0.5107383333333333,0.5149422623291016,0.518571,0.467692,0.573333,0.4875
2014/03,0.4912543333333333,0.49455566666666667,0.5424711311645507,0.4875,0.518571,0.467692,0.57
2014/04,0.525357,0.5339285,0.5794175655822753,0.57,0.4875,0.518571,0.616364
2014/05,0.5579546666666667,0.5794320000000001,0.7114942827911377,0.616364,0.57,0.4875,0.8435710000000001
2014/06,0.676645,0.7222401666666668,0.7075326413955689,0.8435710000000001,0.616364,0.57,0.7035710000000001
2014/07,0.7211686666666668,0.7357031666666667,0.6209883206977844,0.7035710000000001,0.8435710000000001,0.616364,0.534444
2014/08,0.6938620000000001,0.6423408333333334,0.5282721603488922,0.534444,0.7035710000000001,0.8435710000000001,0.435556
2014/09,0.557857,0.5131878333333333,0.4149050801744461,0.435556,0.534444,0.7035710000000001,0.301538
2014/10,0.423846,0.3850283333333333,0.3945955400872231,0.301538,0.435556,0.534444,0.374286
