Year/Month,SMA Apples Price,WMA Apples Price,EMA Apples Price,Apples Price (1 month before),Apples Price (2 month before),Apples Price (3 month before),Apples Price
2013/04,0.6061062055555556,0.6076691166666667,0.6071514104166666,0.6338926666666667,0.55991075,0.6245152,0.60125
2013/05,0.5983511388888889,0.605241013888889,0.6231069552083333,0.60125,0.6338926666666667,0.55991075,0.6390625
2013/06,0.6247350555555555,0.6255966944444444,0.5538083109374999,0.6390625,0.60125,0.6338926666666667,0.4845096666666666
2013/07,0.5749407222222221,0.555484,0.65340415546875,0.4845096666666666,0.6390625,0.60125,0.753
2013/08,0.6255240555555556,0.6445136388888889,0.719429577734375,0.753,0.4845096666666666,0.6390625,0.785455
2013/09,0.6743215555555556,0.7244791111111111,0.6657829555338541,0.785455,0.753,0.4845096666666666,0.6121363333333333
2013/10,0.7168637777777778,0.6933864999999999,0.5788531444335937,0.6121363333333333,0.785455,0.753,0.4919233333333333
2013/11,0.6298382222222222,0.5809162777777778,0.5470212597167969,0.4919233333333333,0.6121363333333333,0.785455,0.5151893750000001
2013/12,0.5397496805555556,0.5235918541666668,0.5019859155726842,0.5151893750000001,0.4919233333333333,0.6121363333333333,0.4569505714285715
2014/01,0.4880210932539683,0.48219229960317467,0.5130184577863421,0.4569505714285715,0.5151893750000001,0.4919233333333333,0.524051
2014/02,0.49873031547619057,0.5002072529761905,0.5035230622265044,0.524051,0.4569505714285715,0.5151893750000001,0.4940276666666667
2014/03,0.4916764126984128,0.4978559285714286,0.48041540611325223,0.4940276666666667,0.524051,0.4569505714285715,0.45730775
2014/04,0.49179547222222225,0.48067159722222225,0.49875320305662607,0.45730775,0.4940276666666667,0.524051,0.517091
2014/05,0.48947547222222226,0.49331936111111113,0.5531266015283129,0.517091,0.45730775,0.4940276666666667,0.6074999999999999
2014/06,0.5272995833333333,0.552331625,0.5048325507641565,0.6074999999999999,0.517091,0.45730775,0.4565384999999999
2014/07,0.5270431666666666,0.5169510833333333,0.5259162753820783,0.4565384999999999,0.6074999999999999,0.517091,0.547
2014/08,0.5370128333333333,0.5269294999999999,0.49909697102437245,0.547,0.4565384999999999,0.6074999999999999,0.4722776666666666
2014/09,0.4919387222222222,0.4945619166666666,0.4204924855121862,0.4722776666666666,0.547,0.4565384999999999,0.341888
2014/10,0.4537218888888888,0.4195365555555555,0.36485945704180733,0.341888,0.4722776666666666,0.547,0.3092264285714285
2014/11,0.3744640317460317,0.3472888253968254,0.3470868713780465,0.3092264285714285,0.341888,0.4722776666666666,0.3293142857142857
2014/12,0.3268095714285714,0.3247139523809524,0.3524156499747375,0.3293142857142857,0.3092264285714285,0.341888,0.3577444285714286
2015/01,0.3320950476190476,0.3401813809523809,0.37128718213022593,0.3577444285714286,0.3293142857142857,0.3092264285714285,0.3901587142857143
2015/02,0.3590724761904762,0.3692132142857143,0.35707216249368445,0.3901587142857143,0.3577444285714286,0.3293142857142857,0.3428571428571429
2015/03,0.3635867619047619,0.3611055476190477,0.38273543838969937,0.3428571428571429,0.3901587142857143,0.3577444285714286,0.4083987142857143
2015/04,0.3804715238095238,0.38351152380952386,0.344087552528183,0.4083987142857143,0.3428571428571429,0.3901587142857143,0.3054396666666666
2015/05,0.35223184126984125,0.34599559523809525,0.33685260959742486,0.3054396666666666,0.4083987142857143,0.3428571428571429,0.3296176666666667
2015/06,0.34781868253968257,0.3346885079365079,0.3576596047987124,0.3296176666666667,0.3054396666666666,0.4083987142857143,0.3784666
2015/07,0.33784131111111115,0.35001246666666663,0.32759600239935616,0.3784666,0.3296176666666667,0.3054396666666666,0.2975324
2015/08,0.33520555555555553,0.3298580111111111,0.35095800119967807,0.2975324,0.3784666,0.3296176666666667,0.37432
2015/09,0.35010633333333335,0.3494152333333333,0.433874813099839,0.37432,0.2975324,0.3784666,0.516791625
2015/10,0.39621467499999996,0.43275787916666664,0.40849554940706234,0.516791625,0.37432,0.2975324,0.3831162857142857
2015/11,0.4247426369047618,0.4262086845238095,0.41129213184638824,0.3831162857142857,0.516791625,0.37432,0.4140887142857142
2015/12,0.43799887499999995,0.4208817232142857,0.3993317802089084,0.4140887142857142,0.3831162857142857,0.516791625,0.3873714285714286
2016/01,0.3948588095238095,0.395568,0.435288032961597,0.3873714285714286,0.4140887142857142,0.3831162857142857,0.4712442857142856
2016/02,0.4242348095238095,0.433760738095238,0.4250065879093699,0.4712442857142856,0.3873714285714286,0.4140887142857142,0.4147251428571428
2016/03,0.42444695238095237,0.42900590476190475,0.40598443681182783,0.4147251428571428,0.4712442857142856,0.3873714285714286,0.3869622857142857
2016/04,0.4243105714285713,0.4102635714285714,0.3450627184059139,0.3869622857142857,0.4147251428571428,0.4712442857142856,0.284141
2016/05,0.3619428095238095,0.34017878571428567,0.3484127758696236,0.284141,0.3869622857142857,0.4147251428571428,0.3517628333333333
2016/06,0.340955373015873,0.3350887976190476,0.30953330460147843,0.3517628333333333,0.284141,0.3869622857142857,0.2706538333333333
2016/07,0.30218588888888887,0.2999380277777777,0.2763051523007392,0.2706538333333333,0.3517628333333333,0.284141,0.243077
2016/08,0.2884978888888889,0.2703835833333333,0.33555990948370296,0.243077,0.2706538333333333,0.3517628333333333,0.3948146666666667
2016/09,0.3028485,0.3235419722222222,0.4094367880751848,0.3948146666666667,0.243077,0.2706538333333333,0.4833136666666666
2016/10,0.37373511111111113,0.4137745555555556,0.37364310832330666,0.4833136666666666,0.3948146666666667,0.243077,0.3378494285714285
