Year/Month,SMA Pig Meat Price,WMA Pig Meat Price,EMA Pig Meat Price,Pig Meat Price (1 month before),Pig Meat Price (2 month before),Pig Meat Price (3 month before),Pig Meat Price
2013/04,1.1846581666666667,1.2001360833333334,1.205578375,1.2261985000000002,1.194445,1.133331,1.2161135
2013/05,1.2122523333333335,1.2158637500000002,1.1723641875,1.2161135,1.2261985000000002,1.194445,1.13915
2013/06,1.1938206666666666,1.1793125833333333,1.16411134375,1.13915,1.2161135,1.2261985000000002,1.1558585
2013/07,1.170374,1.1603315,1.192720921875,1.1558585,1.13915,1.2161135,1.2213305
2013/08,1.172113,1.18580975,1.2279022109375,1.2213305,1.1558585,1.13915,1.2630835
2013/09,1.2134241666666667,1.231295,1.25291685546875,1.2630835,1.2213305,1.1558585,1.2779315
2013/10,1.2541151666666668,1.2635486666666667,1.220585177734375,1.2779315,1.2630835,1.2213305,1.1882535
2013/11,1.2430895,1.2306178333333333,1.1704043388671876,1.1882535,1.2779315,1.2630835,1.1202235
2013/12,1.1954695,1.1691848333333335,1.1472844194335938,1.1202235,1.1882535,1.2779315,1.1241645
2014/01,1.1442138333333334,1.1335323333333334,1.1306487097167968,1.1241645,1.1202235,1.1882535,1.114013
2014/02,1.119467,1.1184319166666665,1.1285833548583983,1.114013,1.1241645,1.1202235,1.126518
2014/03,1.1215651666666666,1.1219574166666666,1.127969177429199,1.126518,1.114013,1.1241645,1.127355
2014/04,1.1226286666666667,1.1248523333333333,1.1586845887145996,1.127355,1.126518,1.114013,1.1894
2014/05,1.1477576666666667,1.158238,1.1591785443573,1.1894,1.127355,1.126518,1.1596725
2014/06,1.1588091666666667,1.1641954166666668,1.14847427217865,1.1596725,1.1894,1.127355,1.1377700000000002
2014/07,1.1622808333333334,1.1536758333333335,1.318545511089325,1.1377700000000002,1.1596725,1.1894,1.48861675
2014/08,1.26201975,1.3168437916666667,1.3792247555446626,1.48861675,1.1377700000000002,1.1596725,1.439904
2014/09,1.3554302500000002,1.4057859166666666,1.3649223777723314,1.439904,1.48861675,1.1377700000000002,1.3506200000000002
2014/10,1.42638025,1.4033807916666667,1.2626071888861659,1.3506200000000002,1.439904,1.48861675,1.160292
2014/11,1.316938666666667,1.270336666666667,1.191521594443083,1.160292,1.3506200000000002,1.439904,1.120436
2014/12,1.2104493333333333,1.1720853333333334,1.1395971722215417,1.120436,1.160292,1.3506200000000002,1.08767275
2015/01,1.12280025,1.1106970416666666,1.0953672111107708,1.08767275,1.120436,1.160292,1.05113725
2015/02,1.0864153333333333,1.0748655416666668,1.0978492305553855,1.05113725,1.08767275,1.120436,1.10033125
2015/03,1.07971375,1.0818235,1.1479222402776927,1.10033125,1.05113725,1.08767275,1.19799525
2015/04,1.1164879166666666,1.14096425,1.1776689951388464,1.19799525,1.10033125,1.05113725,1.20741575
2015/05,1.16858075,1.1864281666666667,1.1911852475694231,1.20741575,1.19799525,1.10033125,1.2047015
2015/06,1.2033708333333333,1.2044885416666666,1.2119893737847116,1.2047015,1.20741575,1.19799525,1.2327935
2015/07,1.2149702500000001,1.2191998750000002,1.2319443118923559,1.2327935,1.2047015,1.20741575,1.25189925
2015/08,1.2297980833333335,1.2376643749999998,1.235410030946178,1.25189925,1.2327935,1.2047015,1.23887575
2015/09,1.2411895,1.2422032083333334,1.213550015473089,1.23887575,1.25189925,1.2327935,1.19169
2015/10,1.2274883333333333,1.2174534583333332,1.1557020077365445,1.19169,1.23887575,1.25189925,1.097854
2015/11,1.1761399166666668,1.1526362916666668,1.0802440038682724,1.097854,1.19169,1.23887575,1.004786
2015/12,1.0981100000000001,1.0669593333333334,1.0229348769341362,1.004786,1.097854,1.19169,0.96562575
