Year/Month,SMA Eggs Price,WMA Eggs Price,EMA Eggs Price,Eggs Price (1 month before),Eggs Price (2 month before),Eggs Price (3 month before),Eggs Price
2013/04,1.4786946666666667,1.4471113333333332,1.30145075,1.363382,1.51982,1.552882,1.153035
2013/05,1.3454123333333332,1.2842815,1.169347375,1.153035,1.363382,1.51982,1.037244
2013/06,1.1845536666666667,1.1301973333333333,1.0533486875,1.037244,1.153035,1.363382,0.93735
2013/07,1.042543,1.0065955000000002,1.02979484375,0.93735,1.037244,1.153035,1.006241
2013/08,0.9936116666666667,0.9884445,1.028857421875,1.006241,0.93735,1.037244,1.02792
2013/09,0.9905036666666667,1.0055986666666665,1.0844612109375,1.02792,1.006241,0.93735,1.140065
2013/10,1.0580753333333333,1.0803793333333334,1.13681010546875,1.140065,1.02792,1.006241,1.189159
2013/11,1.119048,1.1459211666666667,1.140286052734375,1.189159,1.140065,1.02792,1.143762
2013/12,1.157662,1.1582781666666666,1.1162440263671876,1.143762,1.189159,1.140065,1.092202
2014/01,1.1417076666666666,1.1255481666666667,1.1145340131835937,1.092202,1.143762,1.189159,1.112824
2014/02,1.1162626666666666,1.1111063333333333,1.0914275065917969,1.112824,1.092202,1.143762,1.068321
2014/03,1.0911156666666668,1.0871355,1.1235722532958985,1.068321,1.112824,1.092202,1.155717
2014/04,1.1122873333333334,1.1194361666666668,1.1027081266479493,1.155717,1.068321,1.112824,1.081844
2014/05,1.1019606666666668,1.1042145,1.0082265633239746,1.081844,1.155717,1.068321,0.913745
2014/06,1.0504353333333334,1.0101066666666667,0.9560612816619873,0.913745,1.081844,1.155717,0.903896
2014/07,0.9664950000000001,0.936837,1.0325926408309938,0.903896,0.913745,1.081844,1.109124
2014/08,0.9755883333333334,1.0081515,1.0804083204154968,1.109124,0.903896,0.913745,1.128224
2014/09,1.0470813333333333,1.0844693333333333,1.1118706602077484,1.128224,1.109124,0.903896,1.143333
2014/10,1.1268936666666667,1.1325951666666665,1.1750003301038743,1.143333,1.128224,1.109124,1.23813
2014/11,1.1698956666666664,1.1882133333333333,1.2055951650519372,1.23813,1.143333,1.128224,1.23619
2014/12,1.2058843333333333,1.2213605,1.2011600825259685,1.23619,1.23813,1.143333,1.196725
2015/01,1.2236816666666666,1.2167808333333332,1.2156265412629843,1.196725,1.23619,1.23813,1.230093
2015/02,1.2210026666666667,1.2199865,1.209368270631492,1.230093,1.196725,1.23619,1.20311
2015/03,1.209976,1.2110401666666666,1.202369635315746,1.20311,1.230093,1.196725,1.195371
2015/04,1.2095246666666666,1.2037376666666668,1.169877317657873,1.195371,1.20311,1.230093,1.137385
2015/05,1.178622,1.1676678333333335,1.0420206588289365,1.137385,1.195371,1.20311,0.914164
2015/06,1.0823066666666665,1.0354388333333333,1.0161298294144683,0.914164,1.137385,1.195371,0.990239
2015/07,1.0139293333333332,0.989405,1.087107914707234,0.990239,0.914164,1.137385,1.158086
2015/08,1.0208296666666665,1.0614833333333333,1.119626957353617,1.158086,0.990239,0.914164,1.152146
2015/09,1.100157,1.1271414999999998,1.1717904786768085,1.152146,1.158086,0.990239,1.223954
2015/10,1.178062,1.18904,1.1922012393384043,1.223954,1.152146,1.158086,1.212612
2015/11,1.1962373333333334,1.206315,1.2035781196692021,1.212612,1.223954,1.152146,1.214955
2015/12,1.2171736666666666,1.2156738333333335,1.2076640598346011,1.214955,1.212612,1.223954,1.21175
2016/01,1.2131056666666666,1.212962,1.1983875299173006,1.21175,1.214955,1.212612,1.189111
2016/02,1.2052720000000001,1.2009646666666667,1.1730497649586504,1.189111,1.21175,1.214955,1.147712
2016/03,1.1828576666666668,1.1721846666666667,1.1447448824793254,1.147712,1.189111,1.21175,1.11644
2016/04,1.1510876666666665,1.1389758333333335,1.0900754412396627,1.11644,1.147712,1.189111,1.035406
2016/05,1.0998526666666668,1.081135,0.9991357206198314,1.035406,1.11644,1.147712,0.908196
2016/06,1.020014,0.9853066666666667,0.9601273603099156,0.908196,1.035406,1.11644,0.921119
2016/07,0.9549070000000001,0.9358591666666666,0.9274811801549578,0.921119,0.908196,1.035406,0.894835
2016/08,0.9080499999999999,0.9058231666666666,0.9976765900774789,0.894835,0.921119,0.908196,1.067872
2016/09,0.9612753333333334,0.9857341666666667,1.0549512950387394,1.067872,0.894835,0.921119,1.112226
2016/10,1.0249776666666666,1.0612095000000001,1.0537086475193695,1.112226,1.067872,0.894835,1.052466
2016/11,1.0775213333333333,1.0749536666666666,1.0900028237596848,1.052466,1.112226,1.067872,1.126297
2016/12,1.0969963333333332,1.0993415,1.1886124118798425,1.126297,1.052466,1.112226,1.287222
2017/01,1.1553283333333333,1.1944543333333335,1.2175752059399212,1.287222,1.126297,1.052466,1.246538
