Year/Month,SMA Pig Meat Price,WMA Pig Meat Price,EMA Pig Meat Price,Pig Meat Price (1 month before),Pig Meat Price (2 month before),Pig Meat Price (3 month before),Pig Meat Price
2013/04,2.045359,2.0313353333333333,1.9853665000000003,2.001923,2.048089,2.086065,1.936233
2013/05,1.9954150000000002,1.9767723333333336,1.9478412500000002,1.936233,2.001923,2.048089,1.910316
2013/06,1.9494906666666667,1.9342228333333333,1.923784125,1.910316,1.936233,2.001923,1.899727
2013/07,1.9154253333333333,1.9093409999999997,1.9407760625,1.899727,1.910316,1.936233,1.957768
2013/08,1.9226036666666666,1.9305123333333334,1.9702170312499998,1.957768,1.899727,1.910316,1.999658
2013/09,1.9523843333333335,1.9690394999999998,1.9963885156249999,1.999658,1.957768,1.899727,2.02256
2013/10,1.9933286666666667,2.0041273333333334,2.0041117578125,2.02256,1.999658,1.957768,2.011835
2013/11,2.011351,2.0133805000000002,1.9988308789062499,2.011835,2.02256,1.999658,1.99355
2013/12,2.009315,2.0044799999999996,2.0013639394531246,1.99355,2.011835,2.02256,2.003897
2014/01,2.0030940000000004,2.0017709999999997,2.0052704697265624,2.003897,1.99355,2.011835,2.009177
2014/02,2.002208,2.0048125,2.002344234863281,2.009177,2.003897,1.99355,1.999418
2014/03,2.004164,2.0034175,1.9701301174316406,1.999418,2.009177,2.003897,1.937916
2014/04,1.9821703333333331,1.9702935000000001,1.9346865587158204,1.937916,1.999418,2.009177,1.899243
2014/05,1.9455256666666667,1.9288298333333334,1.89635627935791,1.899243,1.937916,1.999418,1.858026
2014/06,1.8983949999999998,1.88508,1.860474889678955,1.858026,1.899243,1.937916,1.8245935
2014/07,1.8606208333333332,1.84817925,1.8655584448394773,1.8245935,1.858026,1.899243,1.870642
2014/08,1.8510871666666666,1.8531898333333334,1.8828617224197388,1.870642,1.8245935,1.858026,1.900165
2014/09,1.8651335,1.87772875,1.8701173612098694,1.900165,1.870642,1.8245935,1.857373
2014/10,1.87606,1.8738485,1.8570796806049348,1.857373,1.900165,1.870642,1.844042
2014/11,1.8671933333333335,1.8578395,1.8327833403024674,1.844042,1.857373,1.900165,1.808487
2014/12,1.836634,1.8284863333333334,1.8168366701512337,1.808487,1.844042,1.857373,1.80089
2015/01,1.8178063333333334,1.8106143333333335,1.6021328350756168,1.80089,1.808487,1.844042,1.387429
2015/02,1.665602,1.5954256666666666,1.5610984175378084,1.387429,1.80089,1.808487,1.520064
2015/03,1.5694609999999998,1.522656666666667,1.5231572087689043,1.520064,1.387429,1.80089,1.485216
2015/04,1.4642363333333333,1.4805341666666667,1.5301101043844523,1.485216,1.520064,1.387429,1.537063
2015/05,1.5141143333333333,1.5169475,1.518881052192226,1.537063,1.485216,1.520064,1.507652
2015/06,1.5099770000000001,1.5137163333333332,1.5371120260961129,1.507652,1.537063,1.485216,1.555343
2015/07,1.5333526666666666,1.5363993333333335,1.6187945130480563,1.555343,1.507652,1.537063,1.700477
2015/08,1.5878240000000001,1.6199614999999998,1.6678812565240282,1.700477,1.555343,1.507652,1.716968
2015/09,1.6575959999999998,1.6845335,1.6980006282620141,1.716968,1.700477,1.555343,1.72812
2015/10,1.715188333333333,1.7197955,1.7100793141310071,1.72812,1.716968,1.700477,1.722158
2015/11,1.7224153333333334,1.7232803333333333,1.7035381570655037,1.722158,1.72812,1.716968,1.696997
2015/12,1.7157583333333335,1.7105711666666668,1.7017415785327519,1.696997,1.722158,1.72812,1.699945
2016/01,1.7063666666666666,1.7026645000000002,1.6914402892663758,1.699945,1.696997,1.722158,1.681139
2016/02,1.6926936666666668,1.6900506666666668,1.666746144633188,1.681139,1.699945,1.696997,1.642052
2016/03,1.6743786666666667,1.6647298333333334,1.6255070723165939,1.642052,1.681139,1.699945,1.584268
2016/04,1.6358196666666667,1.6196745000000001,1.569672036158297,1.584268,1.642052,1.681139,1.513837
2016/05,1.5800523333333334,1.5586831666666665,1.5455200180791486,1.513837,1.584268,1.642052,1.521368
2016/06,1.5398243333333335,1.5293409999999998,1.5491985090395743,1.521368,1.513837,1.584268,1.552877
2016/07,1.5293606666666666,1.5358673333333333,1.6632637545197873,1.552877,1.521368,1.513837,1.777329
2016/08,1.6171913333333334,1.6598515,1.7560528772598936,1.777329,1.552877,1.521368,1.848842
2016/09,1.7263493333333333,1.7756768333333335,1.8024199386299466,1.848842,1.777329,1.552877,1.848787
2016/10,1.824986,1.836895666666667,1.8126984693149732,1.848787,1.848842,1.777329,1.822977
2016/11,1.840202,1.8358911666666666,1.7992757346574866,1.822977,1.848787,1.848842,1.785853
2016/12,1.8192056666666667,1.8087166666666665,1.7934798673287433,1.785853,1.822977,1.848787,1.787684
2017/01,1.798838,1.7929558333333333,1.7836224336643718,1.787684,1.785853,1.822977,1.773765
2017/02,1.782434,1.7804193333333334,1.7768897168321858,1.773765,1.787684,1.785853,1.770157
2017/03,1.777202,1.7742808333333333,1.7656433584160929,1.770157,1.773765,1.787684,1.754397
2017/04,1.7661063333333333,1.762878333333333,1.7646616792080465,1.754397,1.770157,1.773765,1.76368
2017/05,1.7627446666666666,1.7616651666666667,1.7825808396040232,1.76368,1.754397,1.770157,1.8005
2017/06,1.7728589999999997,1.7805428333333335,1.8396754198020115,1.8005,1.76368,1.754397,1.89677
2017/07,1.8203166666666668,1.8424983333333333,1.9139907099010056,1.89677,1.8005,1.76368,1.988306
2017/08,1.895192,1.926493,1.9709953549505028,1.988306,1.89677,1.8005,2.028
2017/09,1.9710253333333334,1.992897,1.9954676774752516,2.028,1.988306,1.89677,2.01994
2017/10,2.012082,2.0173543333333335,1.9781903387376256,2.01994,2.028,1.988306,1.960913
2017/11,2.002951,1.9917698333333334,1.961625169368813,1.960913,2.01994,2.028,1.94506
2017/12,1.975304333333333,1.962824333333333,1.9493125846844066,1.94506,1.960913,2.01994,1.937
2018/01,1.9476576666666665,1.9436721666666668,1.8836577923422033,1.937,1.94506,1.960913,1.818003
2018/02,1.900021,1.8788448333333332,1.7802038961711015,1.818003,1.937,1.94506,1.67675
2018/03,1.8105843333333336,1.7672093333333334,1.686572948085551,1.67675,1.818003,1.937,1.592942
2018/04,1.6958983333333333,1.6583881666666667,1.6392264740427755,1.592942,1.67675,1.818003,1.59188
2018/05,1.6205239999999999,1.6063789999999998,1.6349567370213878,1.59188,1.592942,1.67675,1.630687
2018/06,1.6051696666666668,1.6114605,1.658758368510694,1.630687,1.59188,1.592942,1.68256
2018/07,1.6350423333333335,1.6501556666666666,1.694442184255347,1.68256,1.630687,1.59188,1.730126
2018/08,1.6811243333333332,1.6976975,1.7260710921276736,1.730126,1.68256,1.630687,1.7577
2018/09,1.7234619999999998,1.7359853333333335,1.728302046063837,1.7577,1.730126,1.68256,1.730533
2018/10,1.7394530000000001,1.7395208333333334,1.7266625230319184,1.730533,1.7577,1.730126,1.725023
2018/11,1.7377520000000002,1.7323058333333332,1.7250412615159592,1.725023,1.730533,1.7577,1.72342
2018/12,1.7263253333333335,1.7251398333333334,1.7390881307579797,1.72342,1.725023,1.730533,1.753135
2019/01,1.7338593333333334,1.7385446666666666,1.74194406537899,1.753135,1.72342,1.725023,1.7448
2019/02,1.7404516666666667,1.7440149999999999,1.725757532689495,1.7448,1.753135,1.72342,1.709571
2019/03,1.7358353333333334,1.7285746666666666,1.7180737663447476,1.709571,1.7448,1.753135,1.71039
2019/04,1.7215870000000002,1.715852,1.726321883172374,1.71039,1.709571,1.7448,1.73457
2019/05,1.7181769999999998,1.7223435,1.766880441586187,1.73457,1.71039,1.709571,1.807439
2019/06,1.7507996666666668,1.7669745,1.8285752207930934,1.807439,1.73457,1.71039,1.89027
2019/07,1.8107596666666668,1.8367096666666665,1.9061491103965467,1.89027,1.807439,1.73457,1.983723
2019/08,1.8938106666666663,1.9231913333333335,1.9746245551982733,1.983723,1.89027,1.807439,2.0431
2019/09,1.9723643333333332,1.9978360000000002,2.0139257775991366,2.0431,1.983723,1.89027,2.053227
2019/10,2.026683333333333,2.038267333333333,2.0476013887995683,2.053227,2.0431,1.983723,2.081277
2019/11,2.0592013333333337,2.065564166666667,2.085445694399784,2.081277,2.053227,2.0431,2.12329
2019/12,2.0859313333333334,2.0976084999999998,2.148142347199892,2.12329,2.081277,2.053227,2.210839
