Year/Month,SMA Pig Meat Price,WMA Pig Meat Price,EMA Pig Meat Price,Pig Meat Price (1 month before),Pig Meat Price (2 month before),Pig Meat Price (3 month before),Pig Meat Price
2013/04,0.9861151666666667,0.9922251666666666,0.9998067500000001,1.0043145,0.9863765,0.9676545,1.0089485
2013/05,0.9998798333333333,1.0036418333333332,0.963234875,1.0089485,1.0043145,0.9863765,0.926663
2013/06,0.9799753333333334,0.9670334166666666,0.9547816875,0.926663,1.0089485,1.0043145,0.9463285
2013/07,0.9606466666666668,0.9502099999999999,0.96712484375,0.9463285,0.926663,1.0089485,0.979468
2013/08,0.9508198333333334,0.9596206666666668,1.0055196718750001,0.979468,0.9463285,0.926663,1.0439145
2013/09,0.9899036666666667,1.006168,1.0183923359375,1.0439145,0.979468,0.9463285,1.031265
2013/10,1.0182158333333335,1.0268486666666667,0.99655416796875,1.031265,1.0439145,0.979468,0.974716
2013/11,1.0166318333333333,1.0050987500000002,0.961374583984375,0.974716,1.031265,1.0439145,0.926195
2013/12,0.977392,0.9598803333333334,0.9578612919921875,0.926195,0.974716,1.031265,0.954348
2014/01,0.9517530000000001,0.9483583333333333,0.9394516459960938,0.954348,0.926195,0.974716,0.921042
2014/02,0.9338616666666666,0.9330028333333334,0.915891072998047,0.921042,0.954348,0.926195,0.8923305
2014/03,0.9225734999999999,0.9122372500000001,0.8976922864990234,0.8923305,0.921042,0.954348,0.8794934999999999
2014/04,0.897622,0.89069725,0.9231446432495117,0.8794934999999999,0.8923305,0.921042,0.948597
2014/05,0.906807,0.9161847499999999,0.9356715716247559,0.948597,0.8794934999999999,0.8923305,0.9481985
2014/06,0.9254296666666667,0.9368805,0.9582015358123779,0.9481985,0.948597,0.8794934999999999,0.9807315
2014/07,0.9591756666666668,0.9645314166666666,0.943382267906189,0.9807315,0.9481985,0.948597,0.928563
2014/08,0.9524976666666666,0.9492250833333333,0.9036588839530946,0.928563,0.9807315,0.9481985,0.8639355000000001
2014/09,0.9244100000000001,0.9049440000000001,0.9299884419765473,0.8639355000000001,0.928563,0.9807315,0.956318
2014/10,0.9162721666666668,0.9208979999999999,0.8970183876549402,0.956318,0.8639355000000001,0.928563,0.8640483333333333
2014/11,0.8947672777777779,0.8947860833333333,0.8795765271608034,0.8640483333333333,0.956318,0.8639355000000001,0.8621346666666666
2014/12,0.8941669999999999,0.8784697777777778,0.8494032635804016,0.8621346666666666,0.8640483333333333,0.956318,0.81923
2015/01,0.848471,0.8410012777777777,0.8282699651235341,0.81923,0.8621346666666666,0.8640483333333333,0.8071366666666666
2015/02,0.8295004444444444,0.820334111111111,0.8595333158951004,0.8071366666666666,0.81923,0.8621346666666666,0.8907966666666667
2015/03,0.8390544444444444,0.8509822222222222,0.9024876579475503,0.8907966666666667,0.8071366666666666,0.81923,0.945442
2015/04,0.881125111111111,0.904176,0.9308294956404417,0.945442,0.8907966666666667,0.8071366666666666,0.9591713333333332
2015/05,0.9318033333333332,0.943199111111111,0.9252067478202208,0.9591713333333332,0.945442,0.8907966666666667,0.919584
2015/06,0.9413991111111111,0.9370894444444443,0.9391832072434437,0.919584,0.9591713333333332,0.945442,0.9531596666666666
2015/07,0.9439716666666665,0.9429697222222222,0.9096857702883885,0.9531596666666666,0.919584,0.9591713333333332,0.8801883333333334
2015/08,0.917644,0.9110780555555555,0.8848852184775275,0.8801883333333334,0.9531596666666666,0.919584,0.8600846666666667
2015/09,0.8978108888888889,0.882298388888889,0.9037911092387638,0.8600846666666667,0.8801883333333334,0.9531596666666666,0.922697
2015/10,0.8876566666666666,0.8947414444444445,0.8986595546193819,0.922697,0.8600846666666667,0.8801883333333334,0.893528
2015/11,0.8921032222222222,0.8976771111111111,0.8652112773096909,0.893528,0.922697,0.8600846666666667,0.831763
2015/12,0.8826626666666666,0.8675070000000001,0.8345269719881788,0.831763,0.893528,0.922697,0.8038426666666667
2016/01,0.8430445555555556,0.828097,0.8482938193274228,0.8038426666666667,0.831763,0.893528,0.8620606666666667
2016/02,0.8325554444444445,0.8376050555555556,0.8527837429970446,0.8620606666666667,0.8038426666666667,0.831763,0.8572736666666666
2016/03,0.841059,0.8499641666666666,0.860558538165189,0.8572736666666666,0.8620606666666667,0.8038426666666667,0.8683333333333333
2016/04,0.8625558888888888,0.8636013333333333,0.8714626024159278,0.8683333333333333,0.8572736666666666,0.8620606666666667,0.8823666666666666
2016/05,0.8693245555555555,0.8735067222222223,0.9108114678746306,0.8823666666666666,0.8683333333333333,0.8572736666666666,0.9501603333333334
2016/06,0.9002867777777778,0.9139246111111111,0.9890992339373154,0.9501603333333334,0.8823666666666666,0.8683333333333333,1.067387
2016/07,0.966638,0.9974747222222223,1.059869950301991,1.067387,0.9501603333333334,0.8823666666666666,1.1306406666666666
2016/08,1.049396,1.0794760555555556,1.0903006418176622,1.1306406666666666,1.067387,0.9501603333333334,1.1207313333333333
2016/09,1.106253,1.1151437222222222,1.1155436542421644,1.1207313333333333,1.1306406666666666,1.067387,1.1407866666666666
2016/10,1.1307195555555556,1.1324105555555555,1.0932391604544156,1.1407866666666666,1.1207313333333333,1.1306406666666666,1.0709346666666668
2016/11,1.1108175555555555,1.102518111111111,1.0611089135605412,1.0709346666666668,1.1407866666666666,1.1207313333333333,1.0289786666666667
2016/12,1.0802333333333334,1.0615986666666668,1.0585341234469372,1.0289786666666667,1.0709346666666668,1.1407866666666666,1.0559593333333332
2017/01,1.0519575555555554,1.0494616666666667,1.067606395056802,1.0559593333333332,1.0289786666666667,1.0709346666666668,1.0766786666666668
